Source_Name_4FGL,GLAT,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,Ln_LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,Flags,Category_Prob,GLON
4FGL J0015.9+2440,-37.48992,-22.2534501,2.1628017,0.1299406,-0.04911716,0.8798769,-0.44532767,-0.78545296,0.00074,-0.7733137,-0.13857353,-0.82285243,-0.054959245,2.53056685,7.74625146,AGN,bcu,PowerLaw,,GB6 J0016+2440,0.99971081,0.000289,0.996912592,0.003087408,0.999107782,0.000892,0.997371494,0.002628506,283,0,AGN,112.763969
4FGL J0016.2-0016,-61.85269,-21.4668748,2.726546,0.07921617,0.18653215,4.009281,-0.10060008,-0.6679757,0.003905247,-0.7716553,-1,0.9999915,-0.9991738,4.2398461,5.89558671,AGN,fsrq,LogParabola,3FGL J0016.3-0013,S3 0013-00,0.996661113,0.003338887,0.996068394,0.003931606,0.999999041,9.59e-07,0.989015371,0.010984629,304,0,AGN,104.012276
4FGL J0016.5+1702,-45.029816,-22.4579964,2.6308897,0.3034599,0.44820043,2.5804365,-0.6509662,-0.592994,0.011370583,-0.70416987,-0.9023887,-0.99999887,0.99999595,2.04977897,6.43386147,AGN,fsrq,PowerLaw,3FGL J0016.5+1713,GB6 J0015+1700,0.999461209,0.000539,0.987881197,0.012118803,0.990998091,0.009001909,0.9704704,0.0295296,294,4,AGN,111.096794
4FGL J0017.0-0649,-68.12262,-21.8039822,2.3924778,0.10895304,0.0364026,0.66064906,0.9948694,-0.47349125,0.001304382,-0.7328528,-0.5602087,-0.77242404,-0.44174528,3.16449759,6.91636184,AGN,bcu,PowerLaw,3FGL J0017.2-0643,PMN J0017-0650,0.999939852,6.01e-05,0.995859106,0.004140894,0.999453247,0.000547,0.998128694,0.001871306,288,0,AGN,99.4617081
4FGL J0017.5-0514,-66.667816,-20.8643367,2.5345943,0.05932179,0.110736616,3.1191134,0.103086345,-0.6072476,0.001658259,-0.75492203,-0.7826226,-0.57943034,-0.9998269,5.41519667,6.69550057,AGN,FSRQ,LogParabola,3FGL J0017.6-0512,PMN J0017-0512,0.999960767,3.92e-05,0.996490634,0.003509366,0.999900104,9.99e-05,0.997126593,0.002873407,289,0,AGN,101.209854
4FGL J0017.8+1455,-47.16783,-22.1297825,2.1791823,0.23200671,0.20386355,1.6166002,0.99283016,-0.517261,0.008264866,-0.56388575,-0.47534934,-0.7199061,-0.6534468,2.1774362,7.45790578,AGN,bll,PowerLaw,,GB6 J0017+1450,0.999887739,0.000112,0.992945829,0.007054171,0.99480877,0.00519123,0.991672818,0.008327182,302,0,AGN,110.965263
4FGL J0018.4+2946,-32.54827,-22.065598,1.7145041,0.15376137,0.13607325,1.9924904,0.99322087,-0.8344493,0.000535,0.04749239,-0.25345275,-0.61591023,0.007773072,1.68857302,8.59039514,AGN,bll,PowerLaw,3FGL J0018.4+2947,RBS 0042,0.999880296,0.00012,0.991434199,0.008565801,0.990717022,0.009282978,0.998444645,0.001555355,316,0,AGN,114.44117
4FGL J0019.2-5640,-59.890987,-22.3184698,2.2656467,0.13900854,0.02424963,0.3739991,0.83203155,-0.3783391,0.001721803,-0.68477905,-0.49247536,-0.6508962,-0.9998907,3.13286617,7.27013667,AGN,bcu,PowerLaw,3FGL J0019.1-5645,PMN J0019-5641,0.999971002,2.9e-05,0.997162706,0.002837294,0.999912364,8.76e-05,0.998985798,0.001014202,302,0,AGN,311.750824
4FGL J0019.3-8152,-35.16209,-21.3561445,2.1021957,0.094057135,0.018712848,0.4083841,-0.6985619,-0.5307329,0.000608,-0.58834225,-0.47926122,-0.44888213,-0.8558036,2.66864385,7.72950221,AGN,bll,PowerLaw,3FGL J0018.9-8152,PMN J0019-8152,0.999897634,0.000102,0.997131409,0.002868591,0.999781431,0.000219,0.999418766,0.000581,310,0,AGN,304.314362
4FGL J0019.6+2022,-41.875835,-22.0018602,2.152031,0.1550773,0.15015662,1.8228939,-0.52900416,0.9942902,0.002987874,-0.5989148,-0.6102986,-0.81159765,-0.47472712,2.42371184,7.49201545,AGN,bll,PowerLaw,3FGL J0019.4+2021,PKS 0017+200,0.999438512,0.000561,0.994762503,0.005237497,0.995939739,0.004060261,0.989526463,0.010473537,295,0,AGN,112.900818
