Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,CLASS2,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
4FGL J1809.2-2726,3.8966215,-3.7572598,1721.7008,-20.972527078575432,2.4559236,0.14625992,0.15717712,2.3957052,-0.76662886,0.9999464,0.005901516,0.6666667,-0.7727973,-0.59159297,-0.6945564,-1.0,1.5142470969197597,PowerLaw,0.08344373,0.83680797,3FGL J1809.2-2725,,,0.0,0.0,6
4FGL J1810.2-3054,0.9503426,-5.60056,1231.6995,-21.170110465612225,2.4884698,0.33584854,0.9999995,4.0802608,0.88215065,-0.116475895,0.0012945884,0.6666667,-0.07795252,-0.99457484,0.6115885,-0.9999607,1.8217341166216061,LogParabola,,0.30454463,,,,0.0,0.0,2049
4FGL J1810.3+1332,40.64297,15.127011,1161.4552,-22.162067912753265,2.456504,0.21473649,0.2367847,1.9046248,0.9627646,-0.5071417,0.0041768965,0.6666667,-0.6341798,-0.8188405,-0.70487475,-0.9996841,1.3000273099480084,PowerLaw,0.15617624,0.40948,,agn,87GB 180803.0+134103,0.15,0.0,0
4FGL J1810.5-1415,15.597787,2.339593,2302.9695,-21.122465475616,2.498721,0.28192547,0.24762034,1.7882822,0.9969836,-0.7343091,0.01403719,0.6666667,-0.8094675,-0.6244634,-1.0,0.9999999,1.1964567362140663,PowerLaw,0.075916626,1.7365955,,,,0.0,0.0,0
4FGL J1810.8-3347,358.4481,-7.0842338,2142.011,-21.871028683678144,2.2944815,0.287228,0.23776485,1.9818596,-0.15505116,0.99167204,0.003611017,0.6666667,-0.66439724,-0.5312961,-0.6558784,-0.9998243,2.1952401326515014,PowerLaw,0.15864386,0.63247657,,,,0.0,0.0,0
4FGL J1811.0-2725,4.1121264,-4.1016927,2410.823,-21.571468457700647,2.3743188,0.21221903,0.12511997,1.4099567,0.99678767,-0.9400583,0.0018665065,0.6666667,-0.35121354,-0.8940927,-0.15110435,-0.7233473,1.9231200207654924,PowerLaw,0.11132911,0.30950364,,,,0.0,0.0,24
4FGL J1811.7-1442,15.344996,1.8774376,2497.4548,-20.998281763458273,2.4548545,0.2636088,0.36716205,2.6977534,0.7597752,0.51052535,0.010881786,0.6666667,-0.53908354,-0.6739317,-0.7768994,-0.99999946,1.2720143242973614,PowerLaw,0.12876499,1.641043,,,,0.0,0.0,266
4FGL J1811.9-2336,7.5604014,-2.459222,1831.0541,-20.37572995620893,2.5538995,0.32899913,0.65271366,4.387293,0.6123687,-0.6198967,0.005363956,0.6666667,-0.62024367,-0.7499114,-1.0,0.9972162,1.9350089637509942,LogParabola,0.2915144,1.9822183,,,,0.0,0.0,17
4FGL J1812.2-0856,20.479176,4.502029,767.35486,-21.055368089672292,2.8307874,0.2527436,0.7044103,5.0439286,-0.6103436,-0.39137927,0.008269828,0.6666667,-0.82265335,-1.0,0.98503906,0.91944426,2.046174426079267,LogParabola,0.2457501,1.9181579,,,,0.0,0.0,256
4FGL J1812.8-3144,0.4777761,-6.497667,1648.2871,-20.8814131823472,2.2777457,0.18870468,0.44617805,4.2720647,0.999727,-0.60821486,0.0024162617,0.6666667,-0.05970673,-0.6124847,-0.89097023,-0.9341899,1.8015909677190654,LogParabola,0.15181862,0.3116756,,,,0.0,0.0,0
4FGL J1813.2-1128,18.353931,3.0979326,1620.5575,-20.308965336659252,2.5268526,0.2270958,0.3048707,3.7924836,0.2993435,-0.6216474,0.007397235,0.6666667,-0.61993045,-0.7438156,-0.77325404,-0.99998367,1.0814919605234974,LogParabola,0.122666,0.8670944,,,,0.0,0.0,20
4FGL J1813.5+2819,55.24138,20.195301,2046.2913,-21.63356945648599,2.095474,0.22939566,0.49316344,3.7651665,0.99920046,-0.5312965,0.0048341984,0.6666667,-0.10331067,-0.46528685,-0.7762885,-0.6747921,1.0946896927966994,LogParabola,0.20606288,0.67212915,3FGL J1813.6+2820,,,0.0,0.0,0
4FGL J1813.7-1152,18.075785,2.7860203,2652.2468,-20.354733408102106,2.51686,0.21321993,0.20185193,2.9041557,-0.9890866,0.9976478,0.0056360546,0.6666667,-0.7145606,-0.78331023,-0.6427035,-0.99999887,0.04189255011628109,PowerLaw,0.11420206,0.7337655,3FGL J1813.6-1148,unk,ERC217 G018.11+02.80,0.74,0.0,4
4FGL J1813.7-6846,325.56174,-21.862694,1325.2412,-21.732812643961136,2.3656378,0.1649194,0.22859669,2.805497,0.5570884,-0.6334944,0.0030162688,0.6666667,-0.50848913,-0.7043981,-0.88148254,-0.9999959,1.9502165121096278,PowerLaw,0.11090174,0.3524804,3FGL J1813.6-6845,,,0.0,0.0,0
4FGL J1814.2-1012,19.590925,3.4774256,672.83496,-21.482188209354515,2.8056164,0.3496278,0.9932784,3.7270977,0.9694609,-0.3187804,0.0020798924,0.6666667,-0.88957226,-0.80831325,-0.6162,-0.9999986,1.3850789994157335,LogParabola,,0.30364034,,,,0.0,0.0,2306
4FGL J1814.2-3000,2.1605515,-5.9517894,1350.3646,-21.29975674390379,2.3153956,0.3349215,0.6633949,3.3292513,0.8091085,-0.71426076,0.0034467876,0.6666667,-0.36702508,-0.7278449,-0.7235703,-0.88291985,1.6984310702910008,LogParabola,0.47635186,2.0489147,,,,0.0,0.0,1
4FGL J1814.4+3132,58.541595,21.11991,1884.1641,-21.086206161546674,2.245849,0.20093942,0.6922381,5.988711,-0.8321139,0.23073703,0.006287037,0.6666667,-0.49899128,-0.5810647,-0.999766,-0.7623576,1.9849823923922638,LogParabola,0.21539271,0.70242685,,,,0.0,0.0,16
4FGL J1814.6-2537,6.0880523,-3.961084,1087.433,-21.000160379111318,2.5058696,0.25747362,0.5888306,3.590163,-0.56282294,-0.50250024,0.006097936,0.6666667,-0.5234142,-0.76384205,-1.0,0.99999875,2.122296647166803,LogParabola,0.2506024,0.5653795,,,,0.0,0.0,2
