GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,CLASS2,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
2.5585456,-80.23526,-22.81978428248402,1.9735353,0.22159815,0.06783949,0.66387033,0.40856227,-0.8704807,0.0013531348,-0.5781315,-0.31427428,-0.41365862,-0.57473737,3.0149031817498266,8.113245281780179,bcu,,4FGL J0011.8-3142,PowerLaw,0.1150808,0.37481338,,SUMSS J001141-314220,0.0,0.85099846,0
119.6611,8.111637,-21.70235378025159,2.4091682,0.120379955,0.012992526,0.24992618,0.9802247,-0.72021985,0.0011679517,-0.7204695,-0.64089274,-0.5467862,-0.9996062,2.882058856833942,7.513300981204167,bcu,,4FGL J0012.0+7043,PowerLaw,0.054403182,0.12384678,3FGL J0012.4+7040,TXS 0008+704,0.97765577,0.9222099,0
332.33987,-74.936165,-21.594383055904622,2.0022683,0.09594044,0.11524172,2.4875875,-0.93991286,0.44254082,0.0010895025,-0.5231515,-0.4966849,-0.44742048,-0.9962501,2.4963189889437625,7.684876996664471,bll,,4FGL J0013.1-3955,PowerLaw,0.05390513,0.19458953,3FGL J0013.2-3954,PKS 0010-401,0.99866146,0.9994357,0
107.64184,-51.902443,-22.50538341892474,2.1515617,0.14281824,-0.06723811,0.7470528,-0.70172024,-0.79003656,9.973472E-4,-0.5812402,-0.33014557,-0.6775567,-0.18903436,2.5922454074342167,8.078232311361626,bcu,,4FGL J0013.4+0950,PowerLaw,0.056608345,0.3741911,,1RXS J001328.4+094942,0.9979317,0.95954365,0
115.2578,-21.451033,-22.533070607672517,2.1912282,0.125686,-0.05117838,0.8209412,-0.83213615,-0.2558227,3.0009384E-4,-0.67766905,-0.5710642,-0.8586353,0.49964562,2.482016560834649,7.7213374866695315,agn,,4FGL J0013.6+4051,PowerLaw,0.05129388,0.1602156,,4C +40.01,0.9970998,0.9888399,0
99.6602,-65.55318,-22.526679837152102,2.3075821,0.15297037,-0.06943933,0.897069,-0.882761,-0.60712713,3.2557902E-4,-0.81394285,-0.43385383,-0.40011236,-0.9999999,2.305702429049135,7.6010542480216285,fsrq,,4FGL J0013.6-0424,PowerLaw,0.05404018,0.211341,,PKS 0011-046,0.9918854,0.95783323,0
74.58781,-78.09192,-21.935143872102213,1.9975508,0.11752892,0.037264645,0.6974277,-0.8395637,-0.15334669,6.610725E-4,-0.45917833,-0.45926666,-0.5496858,-0.44182596,1.478248917110853,7.823359375175959,bll,,4FGL J0013.9-1854,PowerLaw,0.055545326,0.18017687,3FGL J0013.9-1853,RBS 0030,0.99950737,0.98459005,0
110.88994,-42.826824,-22.214405601972526,2.276216,0.1951286,0.1974029,2.0738826,-0.22796527,-0.45049578,0.00330977,-0.6108588,-0.59192926,-0.9306525,-0.9990277,3.6851981865554624,7.281590391407704,bll,,4FGL J0014.1+1910,PowerLaw,0.12364888,0.42092597,2FGL J0013.8+1907,MG3 J001356+1910,0.9916659,0.8200502,0
317.45294,-65.69481,-22.07891507346525,2.0150008,0.13312161,0.03362283,0.5129989,0.97364044,-0.7979238,5.2120024E-4,-0.3927917,-0.5582394,-0.51264375,-0.5137554,0.7413293504144769,7.885557843690495,bll,,4FGL J0014.1-5022,PowerLaw,0.06139799,0.17195363,3FGL J0014.0-5025,RBS 0032,0.999756,0.9081001,0
107.61855,-52.85195,-22.52473588157127,2.4726174,0.15705143,-0.036627624,0.43241048,-0.97572166,0.9992082,6.091653E-4,-0.6857422,-0.5994001,-0.99999696,0.99996555,2.24869632802172,7.109550977754327,bll,,4FGL J0014.2+0854,PowerLaw,0.07113019,0.19990672,,MS 0011.7+0837,0.9983077,0.9370092,0
