GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
300.84314,-54.403248,-22.926857360334818,1.9220971,0.21449576,0.09664657,1.0288017,0.9050415,0.32792994,0.0010065447,-0.4139335,-0.4180346,-0.7135208,-0.2002023,2.770632560201777,8.279893690770063,,4FGL J0102.0-6240,PowerLaw,0.11081342,0.30910954,,,0.0,0.0,0
124.92797,-17.86201,-22.75031396159558,2.0664833,0.4647627,0.8726094,2.2573323,-0.98871744,0.5564955,0.0031257633,-0.80950654,-0.04574342,-0.5732996,-0.9993227,2.328961944993204,8.080128184244916,,4FGL J0102.1+4458,PowerLaw,0.20543054,0.27917114,3FGL J0102.1+4458,,0.0,0.0,0
127.39341,-52.764793,-22.21989426133308,1.9821929,0.2868519,0.4172335,2.5742307,-0.43253282,-0.99278075,0.0028429292,0.90832317,-0.28947672,-0.6881355,-0.6446447,1.8402770565692588,8.305929049679854,,4FGL J0102.3+1000,PowerLaw,0.22287156,0.67596126,,,0.0,0.0,0
132.989,-70.92556,-22.796219033536257,2.4095154,0.3457416,0.08481577,0.51669556,-0.056781024,-0.92917794,0.004560289,-0.14370802,-0.649655,-0.9999918,0.97029036,2.217388250558585,7.04635619980645,,4FGL J0104.6-0818,PowerLaw,0.19141035,0.5919499,,,0.0,0.0,0
128.69733,-51.17877,-22.897061311780167,2.0398543,0.28486475,0.2553847,1.5819408,0.85110086,-0.9998725,0.002798225,0.9984614,-0.7778968,-0.1727721,-1.0,2.8628331381555947,8.029995874230456,,4FGL J0106.1+1131,PowerLaw,0.185334,0.5944842,,,0.0,0.0,0
127.72831,-27.977003,-22.748896089051062,2.2645764,0.4060346,0.48250973,1.8043962,-0.95948297,0.99190915,0.008217186,-0.48203456,-0.6289729,-0.9999599,0.99954766,2.3198495017372203,7.329236311384111,,4FGL J0112.0+3442,PowerLaw,0.37641814,1.0279857,,,0.0,0.0,1
236.6043,-84.2885,-23.06346380835304,1.9152102,0.33732143,0.14743468,1.0219995,-0.9998833,0.997314,0.0025072389,-0.74229854,-0.09272792,-0.3260107,-0.77531356,2.3572543224946827,8.354141037426608,,4FGL J0115.4-2917,PowerLaw,0.17137098,0.7669994,,,0.11,0.0,4
125.19039,6.4810796,-22.016916625045123,2.7506387,0.28711644,0.80516225,4.885349,-0.54190946,-0.47316465,0.0021749977,-0.8081395,-0.99972814,-0.8591309,-0.58321196,1.2846426814414424,6.522148384860477,,4FGL J0116.8+6914,LogParabola,0.22996907,0.28644243,3FGL J0116.8+6913,,0.73,0.0,0
296.8381,-56.66605,-22.534763692734128,2.1814055,0.20725486,0.18424638,1.7931644,-0.9868495,0.9929718,0.0029647583,-0.5553572,-0.50144887,-0.83761144,-0.9999679,3.4283089848334445,7.431341380447362,,4FGL J0118.3-6008,PowerLaw,0.1286677,0.44511622,,,0.0,0.0,0
136.17094,-57.039967,-22.979396395994897,2.50379,0.16373035,-0.09594327,1.1760796,-0.13432924,-0.9063575,0.0014276411,-0.542955,-0.5649093,-0.7395797,-0.9998889,2.582357869263573,7.083906924291085,,4FGL J0120.1+0505,PowerLaw,0.061163966,0.3534558,,,0.0,0.0,0
301.32455,-37.297035,-22.796263624276136,2.6210983,0.1548005,-0.09142743,1.5494901,0.9948817,-0.82007325,0.0012013267,-0.65333843,-0.793435,-0.20926644,-0.59910095,2.657622356666193,6.574455564586214,,4FGL J0120.2-7944,PowerLaw,0.0558119,0.27805084,,,0.0,0.0,4
135.23795,-51.556484,-23.32551381995568,1.6660478,0.32548717,0.31295583,1.9539144,-0.8493438,-0.99999964,0.0011519779,0.9999882,0.31553748,-0.45916304,-0.35881996,2.5476141205755853,9.105097849356904,,4FGL J0122.4+1034,PowerLaw,0.20043501,0.49608707,,,0.0,0.0,0
