Flux_Density,Unc_Energy_Flux100,Spectral_Index,Signif_Curve,ln(Variability_Index),hr12,hr23,hr34,hr45,GLAT,class,CLASS1,Source_Name,SpectrumType,Pivot_Energy,ASSOC1,Flags
-32.196066371020855,-27.534573785735336,1.8210037,1.0523636171098507,3.7728830886406466,-0.56155944,0.79688877,-0.10615743,-0.64519864,-10.924384,OTHER,glc,3FGL J1855.1-2243,PowerLaw,5914.816,NGC 6717,0
-24.47682481173651,-25.071088502131538,2.4438531,3.0840016295808894,4.709458578665497,-0.13288867,-0.5677082,-0.6948142,-0.8581923,-0.38825282,OTHER,SNR,3FGL J1855.9+0121e,LogParabola,1894.7809,W44,0
-28.63603091966918,-27.77532234092837,2.200556,1.256259218411513,3.846133881882407,-0.6479319,-0.4018366,-0.74689347,-0.9073162,-25.620527,OTHER,glc,3FGL J1910.7-6000,PowerLaw,1271.7874,NGC 6752,4
-26.469045950812472,-25.587114628787557,2.259825,1.6689832453986673,3.9537632305893324,-0.49042633,-0.63633823,-0.5104247,-0.70949924,-0.15540415,OTHER,snr,3FGL J1910.9+0906,LogParabola,2569.6782,W 49B,0
-25.72091802283524,-26.23207887329379,2.6501248,1.8008399321167186,3.8162199597395823,-0.55247736,-0.71143085,-0.7576694,-0.9998283,-0.268437,OTHER,spp,3FGL J1915.9+1112,LogParabola,1043.5619,,12
-24.40442338320316,-25.569633953741075,2.1245205,1.9619809971022357,4.23616332926743,-0.3781227,-0.5878136,-0.5879697,-0.64633226,-0.46182865,OTHER,SNR,3FGL J1923.2+1408e,LogParabola,1362.4939,W51C,0
-27.942624970565443,-26.912383809581858,2.5137475,1.3854726119668708,3.9160993872209935,-0.49143437,-0.4776727,-0.76395357,-0.9720731,1.3174822,OTHER,spp,3FGL J1951.6+2926,LogParabola,1738.2528,,1
-28.43203203246842,-26.410689322540687,2.3986793,1.3479483949635809,3.433809682251405,-0.5011937,-0.61495036,-0.8513528,-0.78597254,0.7972686,OTHER,spp,3FGL J2014.4+3606,PowerLaw,1692.8959,,16
-24.209680287385034,-26.277906634369113,2.562829,2.3534839223453146,3.674602221233156,-0.46584436,-0.76679826,-0.8494037,-0.9999422,0.9626168,OTHER,spp,3FGL J2022.2+3840,LogParabola,643.3309,,2564
-23.57830935810402,-26.26243830479309,1.9965986,2.454565199400188,4.069920623989846,-0.24734509,-0.65545636,-0.77425444,-0.8988203,4.6703305,OTHER,SNR,3FGL J2045.2+5026e,LogParabola,598.8035,HB21,0
-23.538952355931727,-26.542030427501622,1.8640456,2.211031694990905,3.9936007422740283,-0.26554483,-0.6069472,-0.6664709,-0.8682126,-8.562567,OTHER,SNR,3FGL J2051.0+3040e,LogParabola,497.43094,Cygnus Loop,0
-26.374770939413057,-27.11170775177949,2.5461597,1.6056680935723369,5.6574088067413975,0.078134574,-0.6151808,-0.95741457,-0.80430865,-0.501168,OTHER,NOV,3FGL J2102.3+4547,LogParabola,938.1276,V407 Cyg,4
-32.852585182355604,-26.945517319178826,1.946949,-1.1753534080812003,3.578040358245815,0.8053086,-0.9257947,-0.2925134,-0.15559933,2.75267,OTHER,spp,3FGL J2225.8+6045,PowerLaw,10194.455,,256
-32.946086419667765,-27.227434456677482,1.513586,1.1689221221357544,3.760203894930183,-0.357844,0.9998144,-0.37613666,-0.3596653,-0.98451567,OTHER,snr,3FGL J2301.2+5853,PowerLaw,12251.831,CTB 109,0
-27.954134593881314,-26.598846238100215,1.6944776,1.9132360728889002,3.690681989641995,0.9999265,-0.21588834,-0.3813773,-0.54975295,-2.1290045,OTHER,snr,3FGL J2323.4+5849,LogParabola,2998.5,Cas A,0
