Source_Name_3FGL,Flux_DEN,unc_energy_flux_100,Spectral_Index_old,Signif_curve_1,var,hr12,hr23,hr34,hr45,GLAT_1,Category_3FGL,CLASS_3FGL,Pivot_Energy_1,SpectrumType_1,ASSOC1_1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Flags
3FGL J1830.0-4439,-24.73552921,-27.44152296,2.2165923,1.432273769,5.597205961,-0.533991543,-0.697104188,-0.822784499,-0.999950703,-15.156156,AGN,bcu,440.9335,LogParabola,PMN J1830-4441,0.997214632,0.002785368,0.924847937,0.075152063,0.964132516,0.035867484,0.962045628,0.037954372,327,0
3FGL J1833.6-2103,-21.19181844,-26.3857652,2.3541274,1.948483934,8.037049816,-0.621890911,-0.729465744,-0.74377608,-0.79235055,-5.705333,AGN,fsrq,306.14493,LogParabola,PKS 1830-211,0.976747362,0.023252638,0.955866209,0.044133791,0.999748342,2.52E-04,0.901436075,0.098563925,285,0
3FGL J1849.2+6705,-24.49688199,-27.16318978,2.1426744,1.552261451,7.805131942,-0.482609311,-0.644628639,-0.636420383,-0.714883407,25.04053,AGN,FSRQ,574.0229,LogParabola,S4 1849+67,0.999655019,3.45E-04,0.988409898,0.011590102,0.999906745,9.33E-05,0.98656435,0.01343565,290,0
3FGL J1903.2+5541,-26.97151009,-26.79392546,1.7163644,1.298273912,4.388312462,-0.400288116,-0.337832508,-0.417269976,-0.542589582,20.52978,AGN,bll,1487.2313,LogParabola,TXS 1902+556,0.999346735,6.53E-04,0.91225296,0.08774704,0.903533405,0.096466595,0.959519884,0.040480116,311,0
3FGL J1908.8-0130,-28.33757436,-27.69689226,2.1480389,1.556398463,3.72481152,-0.982625463,0.908800615,-0.717626178,-0.924970795,-4.556341,AGN,bcu,2248.695,LogParabola,NVSS J190836-012642,0.002346176,0.997653824,0.139958636,0.860041364,0.261518945,0.738481055,0.390863927,0.609136073,314,2048
3FGL J1912.9-8008,-26.16848553,-27.26277547,2.238299,1.497556046,5.749997326,-0.530325425,-0.592885887,-0.703247786,-0.812820311,-27.614803,AGN,fsrq,855.78094,LogParabola,PKS 1903-80,0.997530758,0.002469242,0.974768178,0.025231822,0.987206822,0.012793178,0.962457666,0.037542334,299,0
3FGL J1918.2-4110,-27.6050427,-27.00886759,1.6517662,1.605036179,4.187921726,-0.507244681,-0.194707873,-0.403715127,-0.655784529,-22.239529,AGN,bll,1700.5078,LogParabola,PMN J1918-4111,0.895841032,0.104158968,0.640324074,0.359675926,0.634112292,0.365887708,0.719433867,0.280566133,268,0
3FGL J1923.5-2104,-25.03047432,-27.04762463,1.997945,1.862902073,7.068164845,-0.383884458,-0.560739515,-0.636898558,-0.900737039,-16.254517,AGN,fsrq,690.5333,LogParabola,TXS 1920-211,0.891728643,0.108271357,0.96536313,0.03463687,0.997284458,0.002715542,0.624809101,0.375190899,271,0
3FGL J1958.0-3847,-23.82565235,-27.27868882,2.227573,1.386553578,6.217937271,-0.587613255,-0.661101445,-0.731142386,-0.85851848,-28.980127,AGN,fsrq,378.54993,LogParabola,PKS 1954-388,0.99745274,0.00254726,0.983282278,0.016717722,0.996503495,0.003496505,0.970067193,0.029932807,325,0
3FGL J1959.8-4725,-28.86498623,-27.26618517,1.5236522,1.365932457,3.903253506,-0.011611399,-0.113424025,-0.31070666,-0.510237271,-30.85608,AGN,bcu,2337.348,LogParabola,SUMSS J195945-472519,0.979093848,0.020906152,0.831823033,0.168176967,0.801020196,0.198979804,0.860197949,0.139802051,311,0
