Source_Name,AGN_BDT_SMOTE,AGN_BDT_STD_SMOTE,AGN_NN_SMOTE,AGN_NN_STD_SMOTE,AGN_RF_SMOTE,AGN_RF_STD_SMOTE,AGN_LR_SMOTE,AGN_LR_STD_SMOTE,Source_Name_4FGL,AGN_BDT_O,AGN_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,diffBDT,diffNN,diffRF,diffLR
4FGL J0155.4-0625,0.9553510837273089,0.037839710242586616,0.8837592942415083,0.12158502029040683,0.7921226787019119,0.048625332952157485,0.8342154399186179,0.052112486595634756,4FGL J0155.4-0625,0.967723001,0.0245585219,0.968793554,0.0368506653,0.918677587,0.0274895654,0.929986643,0.0180883756,0.3269559199416675,0.6993810549637334,2.602653814681447,1.8377784162271091
4FGL J0156.1+1502,0.9787224863076712,0.02820871674261949,0.945291572283952,0.0453284108811901,0.8665544266160169,0.03464763218005196,0.910686612502212,0.042118405081289,4FGL J0156.1+1502,0.983697553,0.0183617683,0.977331155,0.0173349924,0.907181966,0.0451895535,0.936089973,0.0228175219,0.17636628910566787,0.7068322514112987,0.8990471522136884,0.6031415588686049
4FGL J0156.5+3914,0.9906460784894588,0.007444178349328317,0.9853199788987533,0.017250876918942754,0.9461170271808343,0.016550908953788277,0.9954905850198669,0.002136284130960282,4FGL J0156.5+3914,0.998360713,0.00131070349,0.994300099,0.0074455019,0.98644298,0.00599433094,0.997168107,0.00108021843,1.0363312307310844,0.5205602093993187,2.436479647840463,0.785252277925733
4FGL J0156.6-1758,0.9764727807875255,0.016112712528089705,0.9635536219150055,0.03842424965252956,0.8771331600976472,0.030845046456141483,0.9138411912152543,0.03317321158449005,4FGL J0156.6-1758,0.988336116,0.00593687204,0.983833477,0.0159558749,0.967392281,0.01103399,0.964167173,0.0112921258,0.7362717600647847,0.5277879273736047,2.926211216141044,1.517066915772343
4FGL J0156.8-4744,0.9957945025152927,0.0035652279241266223,0.9865997533447125,0.017020096144228128,0.9556514899904063,0.01428391596350485,0.9911083173479018,0.0038014292245630633,4FGL J0156.8-4744,0.9980968,0.00115641765,0.993138741,0.00820138511,0.988115244,0.00534834494,0.994632008,0.00197621242,0.6457644598616609,0.3841921690615711,2.2727488801066866,0.9269383813145001
4FGL J0156.9-5301,0.9991664512296238,6.674901220347933E-4,0.9878075347042979,0.016115506178902207,0.9414794680313956,0.01777179695505645,0.9896638645530736,0.0054039340241728495,4FGL J0156.9-5301,0.999013889,5.50440137E-4,0.993109842,0.0166557284,0.978470113,0.0141861835,0.987089621,0.00489830036,-0.22856102972537293,0.3183473678462495,2.0814240148112746,-0.4763647264305192
4FGL J0156.9+4648,0.9577733702276633,0.02290824001641047,0.8806035681572777,0.10217579963693565,0.7320084530446686,0.05288491835242909,0.7876307384173099,0.05637676638874951,4FGL J0156.9+4648,0.973419326,0.0136532438,0.951590702,0.0594453379,0.943850978,0.0221203739,0.876457597,0.0262556554,0.6829837543664924,0.6947548646055424,4.005726614601101,1.5755933564933289
4FGL J0157.7-4614,0.98076826755496,0.015304722869456581,0.966968815635012,0.04081631155106756,0.773028887496382,0.05620961097980127,0.9357232317657743,0.0242815098260228,4FGL J0157.7-4614,0.982470946,0.0111861566,0.989036826,0.0131052054,0.936590849,0.0282180817,0.974917483,0.00764714482,0.11125183118721595,0.5406664523661683,2.9098575608785735,1.614160384385189
4FGL J0158.5-3932,0.9830556456610702,0.011526522846437865,0.982149102403389,0.020517700114290962,0.9390447019965819,0.017629586621913777,0.9835358845354928,0.0070000568444262765,4FGL J0158.5-3932,0.99652041,0.00210026928,0.992095216,0.00864255524,0.985814106,0.00861221191,0.989389292,0.00331464202,1.168154916995716,0.4847577233904131,2.6528928333057573,0.8361942759319103
4FGL J0158.8+0101,0.8150545958409624,0.12849265793148001,0.7983542540372073,0.1667622856692207,0.756956427616956,0.057179949901232874,0.7034408996081115,0.08396386080465988,4FGL J0158.8+0101,0.931245407,0.0820402255,0.93524968,0.0775512378,0.920552988,0.0287412573,0.833143383,0.0440277213,0.90426031362039,0.8209015930276343,2.8610826113983108,1.5447417751982433
