GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
123.732124,-17.740635,-23.648917686613007,1.7253089,0.49950203,0.69764805,2.4224527,0.9939366,-0.99999803,0.0025247936,0.9998977,-0.22985367,-0.22451271,-0.68203306,2.14278634280459,9.002171057568667,,4FGL J0055.7+4507,PowerLaw,0.33470166,0.07175703,,,0.0,0.0,4096,0.9962392558610362,0.003760744138974675,0.9959667105951909,0.004033289404808851,0.9944674208033867,0.005532579196613393,0.987575279216546,0.012424720783453783,0.0,0.0,0.0,0.0
123.49776,5.3709292,-22.25111343986072,2.5709317,0.23838879,0.04185547,0.4908316,0.13414398,-0.67740947,0.0017925827,-0.86319375,-0.66661555,-0.86323774,0.084585,2.33556821971328,7.301413829847729,,4FGL J0057.5+6814,PowerLaw,0.10545946,0.1671575,,,0.0,0.0,4120,0.9946630637811114,0.00533693621887079,0.9970687821217711,0.0029312178782290145,0.9954460079001746,0.0045539920998248435,0.9849299102508446,0.015070089749155939,0.0,0.0,0.0,0.0
123.66344,0.57604647,-22.1685498122365,1.7124556,0.22456282,0.22468486,1.6161058,-0.71707606,-0.8371912,4.5079456E-4,-0.7116015,-0.31761372,-0.3711643,0.08081644,2.6798512551701554,9.475284843306696,,4FGL J0057.9+6326,PowerLaw,0.108552314,0.33016366,,,0.0,0.0,0,0.9991620953945577,0.0008379046054584077,0.9978557992405482,0.002144200759450768,0.9972843194437115,0.002715680556287988,0.9963147836457519,0.0036852163542476354,0.0,0.0,0.0,0.0
123.53306,6.396929,-22.090352845950456,2.5431721,0.20424488,0.13368385,1.1993765,0.9741747,-0.71245724,0.004218416,-0.6657675,-0.7957573,-0.99998546,0.9998744,2.2059646051109136,7.198146254041946,,4FGL J0058.1+6915,PowerLaw,0.120523505,0.43117562,,,0.0,0.0,8,0.99945083274551,0.0005491672545102639,0.9934785985519164,0.006521401448083876,0.9882310135386231,0.011768986461376826,0.9892348366613056,0.01076516333869401,0.0,0.0,0.0,0.0
299.2362,-71.02254,-23.2099529908916,2.0539675,0.4161444,0.049079645,0.20585676,0.9807037,-0.85703224,0.0020297575,-0.23466267,-0.44258913,-0.665,-0.05534164,2.7938329569792617,7.988445251460622,,4FGL J0058.3-4603,PowerLaw,0.20070432,0.54144263,,,0.0,0.0,0,0.9999263927814968,7.36072185193252e-05,0.998442331663097,0.0015576683369026116,0.9998888144492213,0.00011118555077934215,0.997979037046289,0.002020962953711527,0.0,0.0,0.0,0.0
300.73035,-60.18506,-21.304909747256126,2.5166073,0.075373635,0.20091991,4.463551,-0.20596762,-0.55228287,0.0026750546,-0.688163,-0.8308571,-0.8772234,-0.9994943,3.831945713823259,6.615728180561991,,4FGL J0059.4-5654,LogParabola,0.05808921,0.19064029,3FGL J0059.1-5701,,0.14,0.0,0,0.9964378592580652,0.003562140741962148,0.9967217400479865,0.0032782599520132204,0.9971600420380978,0.0028399579619027017,0.9858169007627272,0.01418309923727259,0.0,0.0,0.0,0.0
300.84314,-54.403248,-22.926857360334818,1.9220971,0.21449576,0.09664657,1.0288017,0.9050415,0.32792994,0.0010065447,-0.4139335,-0.4180346,-0.7135208,-0.2002023,2.770632560201777,8.279893690770063,,4FGL J0102.0-6240,PowerLaw,0.11081342,0.30910954,,,0.0,0.0,0,0.9999139560323723,8.604396765106559e-05,0.9977740676838246,0.0022259323161753198,0.9993158060490585,0.0006841939509413116,0.9984512062408964,0.0015487937591032233,0.0,0.0,0.0,0.0
124.92797,-17.86201,-22.75031396159558,2.0664833,0.4647627,0.8726094,2.2573323,-0.98871744,0.5564955,0.0031257633,-0.80950654,-0.04574342,-0.5732996,-0.9993227,2.328961944993204,8.080128184244916,,4FGL J0102.1+4458,PowerLaw,0.20543054,0.27917114,3FGL J0102.1+4458,,0.0,0.0,0,0.9978575935895133,0.0021424064104971783,0.9891030896358937,0.01089691036410707,0.9799039373618524,0.02009606263814744,0.9852777596696571,0.014722240330342796,0.0,0.0,0.0,0.0
127.39341,-52.764793,-22.21989426133308,1.9821929,0.2868519,0.4172335,2.5742307,-0.43253282,-0.99278075,0.0028429292,0.90832317,-0.28947672,-0.6881355,-0.6446447,1.8402770565692588,8.305929049679854,,4FGL J0102.3+1000,PowerLaw,0.22287156,0.67596126,,,0.0,0.0,0,0.9991201912001784,0.0008798087998149724,0.9939238673326537,0.00607613266734672,0.9849183573536245,0.015081642646376183,0.9889400439185516,0.011059956081448176,0.0,0.0,0.0,0.0
132.989,-70.92556,-22.796219033536257,2.4095154,0.3457416,0.08481577,0.51669556,-0.056781024,-0.92917794,0.004560289,-0.14370802,-0.649655,-0.9999918,0.97029036,2.217388250558585,7.04635619980645,,4FGL J0104.6-0818,PowerLaw,0.19141035,0.5919499,,,0.0,0.0,0,0.9998028922882457,0.00019710771174521197,0.9978500321347363,0.0021499678652636333,0.9995405818759554,0.0004594181240458135,0.9867187524940133,0.013281247505987233,0.0,0.0,0.0,0.0
